"","Adams","Cabot","Kirkland","Mather","Quincy","Leverett","Dunster","Currier","Eliot","Lowell","Pforzheimer","Winthrop"
"324",9,11,7,9,6,7,5,11,6,4,10,3
"325",9,11,7,9,6,7,5,11,6,4,10,3
"326",9,11,7,9,6,7,5,11,6,4,10,3
"327",9,11,7,9,6,7,5,11,6,4,10,3
"328",9,11,7,9,6,7,5,11,6,4,10,3
"329",9,11,7,9,6,7,5,11,6,4,10,3
"330",9,11,8,9,6,7,5,11,6,4,10,3
"331",9,11,8,9,6,7,5,11,6,4,10,3
"332",9,11,8,9,6,7,5,11,6,4,10,3
"333",9,11,8,9,6,7,5,11,6,4,10,3
"334",9,11,8,9,6,7,5,11,6,4,10,3
"335",9,11,8,9,6,7,5,11,6,4,10,3
"336",9,11,8,9,6,7,5,11,6,4,10,3
"337",9,11,8,9,6,7,5,11,6,4,10,3
"338",9,11,8,9,6,7,5,11,6,4,10,3
"339",9,11,8,9,6,7,5,11,6,4,10,3
"340",9,11,8,9,6,7,5,11,6,4,10,3
"341",9,11,8,9,6,7,5,11,6,4,10,3
"342",9,11,8,9,6,7,5,11,6,4,10,3
"343",9,11,8,9,6,7,5,11,6,4,10,3
"344",9,11,8,9,6,7,5,11,6,4,10,3
"345",9,11,8,9,6,7,5,11,6,4,10,3
"346",9,11,8,9,6,7,5,11,6,4,10,3
"347",9,11,8,9,6,7,5,11,6,4,10,3
"348",9,11,8,9,6,7,5,11,6,4,10,3
"349",9,11,8,9,6,7,5,11,6,4,10,3
"350",9,11,8,9,6,7,5,11,6,4,10,3
"351",9,11,8,9,6,7,5,11,6,4,10,3
"352",9,11,8,9,6,7,6,11,6,4,10,3
"353",9,11,8,9,6,7,6,11,6,4,10,3
"354",9,11,8,9,6,7,6,11,6,4,10,3
"355",9,11,8,9,6,7,6,11,7,4,10,3
"356",9,11,8,9,6,7,6,11,7,4,10,3
"357",9,11,8,9,6,7,6,11,7,4,10,3
"358",9,11,8,9,6,7,6,11,7,4,10,3
"359",9,11,8,9,6,7,6,11,7,4,10,3
"360",9,11,8,9,6,7,6,11,7,4,10,3
"361",9,11,8,9,6,7,6,11,7,4,10,3
"362",9,11,8,9,6,7,6,11,7,4,10,3
"363",9,11,8,9,6,7,6,11,7,4,10,3
"364",9,11,8,9,6,7,6,11,7,4,10,3
"365",9,11,8,9,6,7,6,11,7,4,10,3
"366",9,11,8,9,6,7,6,11,7,4,10,3
"367",9,11,8,10,6,7,6,11,7,4,10,3
